gname,glong,glat,radius,vlsr,e_vlsr,line,e_line,line_unit,beam_area,line_freq,fwhm,e_fwhm,te,e_te,source,author,telescope,kdar,Rgal,near,far,tangent,vlsr_tangent,plx,dist_author,te_priority
G000.335-00.016,0.335364,-0.0150039,42.5002,14.0,0.3,65.96000000000001,0.68,mJy/beam,6893.719775719162,8000.0,33.7,0.5,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,0.07031725584311736,8.11326826826826,8.218123123123117,8.167271271271265,16.77566405782127,,,0
G000.492+00.191,0.492402,0.191645,42.5,-7.5,0.1,42.400000000000006,0.192,mJy/beam,6893.719775719162,8000.0,22.1,0.1,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,,,,8.166297297297291,21.052513546924427,,,0
G000.528+00.180,0.52817,0.180976,25.672,-2.3,1.1,326.48,31.415999999999997,mJy/beam,146848.46859520106,8000.0,26.2,4.8,,500.0,WISE Catalog,Lockman  Pisano  & Howard (1996),NRAO 140',,8.819693919897565,0.01,17.019894894894882,8.164292292292286,21.920020921261223,,,0
G000.573-00.855,0.573,-0.855,149.512,14.2,0.1,112.56,0.892,mJy/beam,6893.719775719162,8000.0,17.4,0.2,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,0.2384315851151873,7.933456456456449,8.388762762762756,8.16399799799799,23.042152401397022,,,0
G000.583-00.868,0.583828,-0.868,49.5116,14.2,0.1,112.56,0.892,mJy/beam,6893.719775719162,8000.0,17.4,0.2,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,0.24389567050137523,7.931957957957951,8.397181181181175,8.170282282282276,23.36947915372761,,,0
G000.602+00.333,0.602836,0.333658,83.6117,-2.9,0.5,45.9536,1.7864000000000002,mJy/beam,36712.117148800266,8000.0,26.0,1.2,,500.0,WISE Catalog,Quireza et al. (2006),NRAO 140',,14.377268113702986,0.01,22.542572572572553,8.169432432432425,23.527597133179267,,,0
G000.668+00.641,0.668534,0.641751,343.014,3.7,0.8,203.28,20.328000000000003,mJy/beam,146848.46859520106,8000.0,17.1,2.0,,500.0,WISE Catalog,Lockman  Pisano  & Howard (1996),NRAO 140',,2.6129241664119367,5.553207207207202,10.781981981981973,8.167738738738732,24.983127226911137,,,0
G000.829+00.198,0.82944,0.198783,190.241,5.6,0.1,50.080000000000005,0.384,mJy/beam,6893.719775719162,8000.0,25.4,0.2,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,2.294983557987467,5.871707707707702,10.447814814814805,8.16584684684684,28.31676402580392,,,0
G001.005-00.236,1.00517,-0.235813,50.8306,2.5,0.1,12.880000000000003,0.15200000000000002,mJy/beam,6893.719775719162,8000.0,22.4,0.3,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,4.844261393175879,3.315909909909907,12.995557557557547,8.165360360360353,31.333853231531815,0.09,Zhang et al.(2019),0
G001.055-00.154,1.05599,-0.15342,126.311,-14.3,0.1,27.24,0.144,mJy/beam,6893.719775719162,8000.0,21.3,0.1,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,,,,8.17008708708708,32.398936045939244,,,0
G001.125-00.106,1.12515,-0.105151,60.0,-19.91,0.1,497.5336411349196,2.841245412572511,mJy/beam,41770.0,8000.0,24.53,0.16,6417.0,63.0,Balser+2015,"Quireza et al. (2006a), Balser et al. (2015)",NRAO 140 Foot,,,,,8.172071071071064,33.61988586567078,,,0
G001.138+00.807,1.13801,0.807995,37.3903,-8.5,0.5,3.9600000000000004,0.16000000000000003,mJy/beam,6893.719775719162,8000.0,26.9,1.3,,500.0,WISE Catalog,Anderson et al. (2015b),GBT,,,,,8.16527827827827,33.80963022368984,,,0
G001.321+00.101,1.32176,0.101962,58.7388,-12.7,0.1,41.88,0.268,mJy/beam,6893.719775719162,8000.0,27.0,0.2,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,,,,8.165665665665658,36.649735836465226,,,0
G001.330+00.088,1.33,0.088,42.5,-12.0,0.2,46.748682114075415,0.8293530873355409,mJy/beam,8177.61,8000.0,26.0,0.53,5512.6,132.0,SHRDS Full Catalog,Wenger et al. (2021),ATCA,,,,,8.162181181181174,37.191349838152185,,,0
G001.330+00.145,1.33082,0.145516,78.6106,-20.1,0.1,12.240000000000002,0.128,mJy/beam,6893.719775719162,8000.0,21.7,0.3,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,,,,8.161165165165158,36.91607957393704,,,0
G001.488-00.199,1.488,-0.199,42.5,-2.2,0.3,6.2,0.15200000000000002,mJy/beam,6893.719775719162,8000.0,25.8,0.8,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,10.800905390199642,0.01,18.93419819819818,8.16775775775775,39.127047396549564,,,0
G002.009-00.680,2.009,-0.68,42.5,18.2,0.3,6.920000000000001,0.15200000000000002,mJy/beam,6893.719775719162,8000.0,30.2,0.9,,500.0,WISE Catalog,Anderson et al. (2011),GBT,,1.6720724750148783,6.537459459459454,9.828906906906898,8.158559559559553,46.20557878346912,,,0
G002.272+00.237,2.27246,0.237445,284.176,4.9,0.7,240.24,14.168,mJy/beam,146848.46859520106,8000.0,25.5,1.8,,500.0,WISE Catalog,Lockman (1989),NRAO 140',,5.246042269747036,2.9601791791791765,13.425672672672661,8.163875875875869,49.54856430251842,,,0
